               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11085,            0.028392,                   0,            0.012237,                0.08,             0.02651,            0.010072,            0.076456,            0.018131,                   0,              0.0784,              0.0024,              0.0024
                   1,            0.091295,            0.023669,                   0,           0.0025333,                0.76,            0.010028,           0.0018502,            0.063933,            0.013462,                   0,            0.055851,           0.0048515,           0.0048515
                   2,            0.080157,            0.020267,                   0,            0.026561,                0.56,            0.092475,            0.018983,            0.059089,            0.011231,                   0,            0.033253,           0.0072535,           0.0072535
                   3,            0.078357,            0.018756,                   0,              0.0028,                0.84,             0.00514,           0.0016797,            0.079063,           0.0081245,                   0,            0.010606,            0.009606,            0.009606
                   4,            0.072551,            0.018872,                   0,              0.0032,                0.96,             0.17467,              0.0456,             0.06388,           0.0082724,                   0,            0.009604,            0.009604,            0.009604
                   5,            0.070743,            0.017588,                   0,           0.0040234,                0.96,             0.57875,             0.24326,            0.054068,           0.0090021,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.061441,            0.020077,                   0,             0.16122,                0.84,             0.72447,             0.30376,            0.046957,           0.0089052,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.059536,            0.017056,                   0,              0.5856,                0.64,             0.67463,              0.2071,            0.042652,           0.0087038,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.05366,            0.016589,                   0,             0.90454,                 0.8,             0.84136,             0.32357,             0.03425,           0.0082916,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.052837,            0.017052,                   0,             0.76683,                0.68,             0.77326,             0.22729,            0.043873,           0.0069562,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.052075,            0.014437,                   0,             0.92772,                 0.8,              0.9073,             0.39698,            0.035419,           0.0069373,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.046554,            0.015819,                   0,                   1,              0.8626,             0.95251,             0.44477,            0.032016,           0.0066965,                   0,             0.00901,             0.00901,             0.00901
                  12,             0.04467,            0.015673,                   0,             0.93023,                 0.8,             0.85913,             0.36686,            0.033961,           0.0061817,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.044419,            0.013776,                   0,             0.99275,                0.84,             0.94491,             0.46605,            0.029355,            0.005821,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.044414,            0.014175,                   0,             0.95328,             0.81657,             0.91805,             0.46189,            0.032299,           0.0053962,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.040422,            0.014295,                   0,             0.70455,             0.76321,             0.83045,             0.43391,             0.03497,           0.0048372,                   0,            0.008614,            0.008614,            0.008614
